paper_id,paper,year,venue,task,representation,granulation,split_criterion,merge_criterion,stop_criterion,uncertainty,decision,downstream,dataset,noise,baseline,main_gain,code,author_weakness,suspected_weakness,evidence_level,source_url,notes
P0099,A Three-Way Clustering Method Based on Ensemble Strategy and Three-Way Decision,2019,Information,clustering; decision analysis,points/objects or not reported,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,three-way boundary/defer region,three-way accept/defer/reject; cluster assignment,not reported in metadata/abstract,requires full-text verification,not reported in metadata/abstract,requires full-text verification,requires full-text verification,unknown; repository search pending,requires full-text verification,not inferred before method/full-text review,abstract-coded,https://doi.org/10.3390/info10020059,"Controlled keyword coding; unknown fields are deliberate, not negative evidence."
P0100,3W-GBSVM++: Three-way granular-ball SVM based on granularity optimization mechanism,2026,Applied Soft Computing,not reported in metadata/abstract,granular ball,granular-ball generation,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,three-way boundary/defer region,not reported in metadata/abstract,SVM,requires full-text verification,not reported in metadata/abstract,requires full-text verification,requires full-text verification,unknown; repository search pending,requires full-text verification,not inferred before method/full-text review,metadata-only,https://doi.org/10.1016/j.asoc.2026.114593,"Controlled keyword coding; unknown fields are deliberate, not negative evidence."
P0101,3W-GSOM: A Granular-Ball-Driven Growing Self-Organizing Map for Three-Way Clustering,2026,IEEE Transactions on Fuzzy Systems,clustering,granular ball,granular-ball generation,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,three-way boundary/defer region,cluster assignment,not reported in metadata/abstract,requires full-text verification,not reported in metadata/abstract,requires full-text verification,requires full-text verification,unknown; repository search pending,requires full-text verification,not inferred before method/full-text review,metadata-only,https://doi.org/10.1109/tfuzz.2026.3706960,"Controlled keyword coding; unknown fields are deliberate, not negative evidence."
P0102,Three-way role-arbitration outlier detection based on bi-level granular-ball knowledge representation,2026,Knowledge-Based Systems,anomaly/outlier detection,granular ball,granular-ball generation,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,three-way boundary/defer region,not reported in metadata/abstract,not reported in metadata/abstract,requires full-text verification,outliers,requires full-text verification,requires full-text verification,unknown; repository search pending,requires full-text verification,not inferred before method/full-text review,metadata-only,https://doi.org/10.1016/j.knosys.2026.116038,"Controlled keyword coding; unknown fields are deliberate, not negative evidence."
P0103,Adaptive Three-Way Density Peak Clustering Integrating Natural Neighbor Structure and Granular-Ball Structure,2025,Journal of Physics: Conference Series,clustering; decision analysis,granular ball,granular-ball generation; local-density,local density,not reported in metadata/abstract,not reported in metadata/abstract,three-way boundary/defer region,three-way accept/defer/reject; cluster assignment,not reported in metadata/abstract,requires full-text verification,not reported in metadata/abstract,requires full-text verification,requires full-text verification,unknown; repository search pending,requires full-text verification,not inferred before method/full-text review,abstract-coded,https://doi.org/10.1088/1742-6596/3108/1/012030,"Controlled keyword coding; unknown fields are deliberate, not negative evidence."
P0104,Multi-view Granular-ball Contrastive Clustering,2025,Proceedings of the AAAI Conference on Artificial Intelligence,clustering,granular ball,granular-ball generation,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,cluster assignment,not reported in metadata/abstract,requires full-text verification,not reported in metadata/abstract,requires full-text verification,requires full-text verification,unknown; repository search pending,requires full-text verification,not inferred before method/full-text review,abstract-coded,https://doi.org/10.1609/aaai.v39i19.34274,"Controlled keyword coding; unknown fields are deliberate, not negative evidence."
P0105,Square Superpixel Generation and Representation Learning via Granular-ball Computing,2025,2025 8th International Conference on Computer Information Science and Application Technology (CISAT),stream/online learning; graph learning,granular ball; graph,granular-ball generation,purity,not reported in metadata/abstract,not reported in metadata/abstract,purity proxy,not reported in metadata/abstract,neural network; graph neural network,requires full-text verification,not reported in metadata/abstract,requires full-text verification,requires full-text verification,unknown; repository search pending,requires full-text verification,not inferred before method/full-text review,abstract-coded,https://doi.org/10.1109/cisat66811.2025.11181937,"Controlled keyword coding; unknown fields are deliberate, not negative evidence."
P0106,Sequential three-way decision based on multi-granular autoencoder features,2020,Information Sciences,classification; decision analysis,points/objects or not reported,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,three-way boundary/defer region,three-way accept/defer/reject; classification decision,not reported in metadata/abstract,requires full-text verification,not reported in metadata/abstract,requires full-text verification,requires full-text verification,unknown; repository search pending,requires full-text verification,not inferred before method/full-text review,abstract-coded,https://doi.org/10.1016/j.ins.2019.03.061,"Controlled keyword coding; unknown fields are deliberate, not negative evidence."
P0107,Outlier Detection with Three-Way Granular-Balls,2025,"2025 IEEE 6th International Conference on Computer, Big Data, Artificial Intelligence (ICCBD+AI)",anomaly/outlier detection; decision analysis,granular ball,granular-ball generation,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,three-way boundary/defer region,three-way accept/defer/reject,not reported in metadata/abstract,requires full-text verification,outliers,requires full-text verification,requires full-text verification,unknown; repository search pending,requires full-text verification,not inferred before method/full-text review,abstract-coded,https://doi.org/10.1109/iccbdai66607.2025.11388327,"Controlled keyword coding; unknown fields are deliberate, not negative evidence."
P0108,Granular Ball Twin Support Vector Machine,2025,IEEE Transactions on Neural Networks and Learning Systems,classification; regression; stream/online learning,granular ball,granular-ball generation,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,classification decision,SVM,requires full-text verification,label noise; outliers,requires full-text verification,requires full-text verification,unknown; repository search pending,requires full-text verification,not inferred before method/full-text review,abstract-coded,https://doi.org/10.1109/tnnls.2024.3476391,"Controlled keyword coding; unknown fields are deliberate, not negative evidence."
P0109,Three-Way Outlier Detection Based on Shadowed Granular-Balls,2026,IEEE Transactions on Fuzzy Systems,clustering; anomaly/outlier detection; decision analysis,granular ball,granular-ball generation; local-density,local density; entropy/information,not reported in metadata/abstract,not reported in metadata/abstract,three-way boundary/defer region; entropy,three-way accept/defer/reject; cluster assignment,not reported in metadata/abstract,requires full-text verification,outliers,requires full-text verification,requires full-text verification,unknown; repository search pending,requires full-text verification,not inferred before method/full-text review,abstract-coded,https://doi.org/10.1109/tfuzz.2025.3625229,"Controlled keyword coding; unknown fields are deliberate, not negative evidence."
P0110,Adaptive granular-ball based density peak clustering,2025,Neurocomputing,clustering,granular ball,granular-ball generation; adaptive/dynamic,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,cluster assignment,not reported in metadata/abstract,requires full-text verification,not reported in metadata/abstract,requires full-text verification,requires full-text verification,unknown; repository search pending,requires full-text verification,not inferred before method/full-text review,metadata-only,https://doi.org/10.1016/j.neucom.2025.131458,"Controlled keyword coding; unknown fields are deliberate, not negative evidence."
P0111,Multi-Granularity Open Intent Classification via Adaptive Granular-Ball Decision Boundary,2025,Proceedings of the AAAI Conference on Artificial Intelligence,classification; clustering,granular ball,granular-ball generation; adaptive/dynamic,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,classification decision; cluster assignment,not reported in metadata/abstract,requires full-text verification,not reported in metadata/abstract,requires full-text verification,requires full-text verification,unknown; repository search pending,requires full-text verification,not inferred before method/full-text review,abstract-coded,https://doi.org/10.1609/aaai.v39i23.34630,"Controlled keyword coding; unknown fields are deliberate, not negative evidence."
P0112,MOGBC: Multi-objective Driven Granular Ball Clustering,2025,Lecture Notes in Computer Science,clustering,granular ball,granular-ball generation,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,cluster assignment,not reported in metadata/abstract,requires full-text verification,not reported in metadata/abstract,requires full-text verification,requires full-text verification,unknown; repository search pending,requires full-text verification,not inferred before method/full-text review,metadata-only,https://doi.org/10.1007/978-3-031-92747-8_25,"Controlled keyword coding; unknown fields are deliberate, not negative evidence."
P0113,Multi-granularity graph refinement via granular ball for graph classification,2026,Neurocomputing,classification,granular ball; graph,granular-ball generation,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,classification decision,not reported in metadata/abstract,requires full-text verification,not reported in metadata/abstract,requires full-text verification,requires full-text verification,unknown; repository search pending,requires full-text verification,not inferred before method/full-text review,metadata-only,https://doi.org/10.1016/j.neucom.2026.133713,"Controlled keyword coding; unknown fields are deliberate, not negative evidence."
P0114,Granular-Ball Based Multi-View Outlier Detection,2026,"ICASSP 2026 - 2026 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)",anomaly/outlier detection,granular ball,granular-ball generation,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,requires full-text verification,outliers,requires full-text verification,requires full-text verification,unknown; repository search pending,requires full-text verification,not inferred before method/full-text review,metadata-only,https://doi.org/10.1109/icassp55912.2026.11462415,"Controlled keyword coding; unknown fields are deliberate, not negative evidence."
P0115,A Dual-Type Granular Ball Generation Method Based on Multi-Granularity Neighborhood,2026,Frontiers in Artificial Intelligence and Applications,classification; clustering,granular ball,granular-ball generation; local-density,local density,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,classification decision; cluster assignment,not reported in metadata/abstract,requires full-text verification,not reported in metadata/abstract,requires full-text verification,requires full-text verification,unknown; repository search pending,requires full-text verification,not inferred before method/full-text review,abstract-coded,https://doi.org/10.3233/faia251647,"Controlled keyword coding; unknown fields are deliberate, not negative evidence."
P0116,The geometry of three-way decision,2021,Applied Intelligence,decision analysis,points/objects or not reported,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,three-way boundary/defer region,three-way accept/defer/reject,not reported in metadata/abstract,requires full-text verification,not reported in metadata/abstract,requires full-text verification,requires full-text verification,unknown; repository search pending,requires full-text verification,not inferred before method/full-text review,metadata-only,https://doi.org/10.1007/s10489-020-02142-z,"Controlled keyword coding; unknown fields are deliberate, not negative evidence."
P0117,Three-way k-means: integrating k-means and three-way decision,2019,International Journal of Machine Learning and Cybernetics,decision analysis,points/objects or not reported,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,three-way boundary/defer region,three-way accept/defer/reject,not reported in metadata/abstract,requires full-text verification,not reported in metadata/abstract,requires full-text verification,requires full-text verification,unknown; repository search pending,requires full-text verification,not inferred before method/full-text review,metadata-only,https://doi.org/10.1007/s13042-018-0901-y,"Controlled keyword coding; unknown fields are deliberate, not negative evidence."
P0118,Set-theoretic models of three-way decision,2020,Granular Computing,decision analysis,points/objects or not reported,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,three-way boundary/defer region,three-way accept/defer/reject,not reported in metadata/abstract,requires full-text verification,not reported in metadata/abstract,requires full-text verification,requires full-text verification,unknown; repository search pending,requires full-text verification,not inferred before method/full-text review,metadata-only,https://doi.org/10.1007/s41066-020-00211-9,"Controlled keyword coding; unknown fields are deliberate, not negative evidence."
P0119,Three-way decision on information tables,2021,Information Sciences,decision analysis,rough-set approximation,not reported in metadata/abstract,entropy/information,not reported in metadata/abstract,not reported in metadata/abstract,three-way boundary/defer region; entropy,three-way accept/defer/reject,not reported in metadata/abstract,requires full-text verification,not reported in metadata/abstract,requires full-text verification,requires full-text verification,unknown; repository search pending,requires full-text verification,not inferred before method/full-text review,abstract-coded,https://doi.org/10.1016/j.ins.2020.07.064,"Controlled keyword coding; unknown fields are deliberate, not negative evidence."
P0120,Three-way decision on two universes,2020,Information Sciences,decision analysis,rough-set approximation,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,three-way boundary/defer region,three-way accept/defer/reject,not reported in metadata/abstract,requires full-text verification,not reported in metadata/abstract,requires full-text verification,requires full-text verification,unknown; repository search pending,requires full-text verification,not inferred before method/full-text review,abstract-coded,https://doi.org/10.1016/j.ins.2019.12.020,"Controlled keyword coding; unknown fields are deliberate, not negative evidence."
P0121,Three-way decisions based on hesitant sets over three-way decision spaces,2023,Information Sciences,decision analysis,points/objects or not reported,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,three-way boundary/defer region,three-way accept/defer/reject,not reported in metadata/abstract,requires full-text verification,not reported in metadata/abstract,requires full-text verification,requires full-text verification,unknown; repository search pending,requires full-text verification,not inferred before method/full-text review,metadata-only,https://doi.org/10.1016/j.ins.2023.119365,"Controlled keyword coding; unknown fields are deliberate, not negative evidence."
P0122,Three-way decisions based on bipolar-valued fuzzy sets over three-way decision spaces,2024,Information Sciences,decision analysis,points/objects or not reported,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,three-way boundary/defer region,three-way accept/defer/reject,not reported in metadata/abstract,requires full-text verification,not reported in metadata/abstract,requires full-text verification,requires full-text verification,unknown; repository search pending,requires full-text verification,not inferred before method/full-text review,metadata-only,https://doi.org/10.1016/j.ins.2023.119912,"Controlled keyword coding; unknown fields are deliberate, not negative evidence."
P0123,Three-way decision oriented rational behavior multi-attribute decision-making,2026,Information Fusion,decision analysis,points/objects or not reported,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,three-way boundary/defer region,three-way accept/defer/reject,not reported in metadata/abstract,requires full-text verification,not reported in metadata/abstract,requires full-text verification,requires full-text verification,unknown; repository search pending,requires full-text verification,not inferred before method/full-text review,metadata-only,https://doi.org/10.1016/j.inffus.2025.103538,"Controlled keyword coding; unknown fields are deliberate, not negative evidence."
P0124,Explainable multi-criteria decision-making: A three-way decision perspective,2025,International Journal of Approximate Reasoning,decision analysis,points/objects or not reported,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,three-way boundary/defer region,three-way accept/defer/reject,not reported in metadata/abstract,requires full-text verification,not reported in metadata/abstract,requires full-text verification,requires full-text verification,unknown; repository search pending,requires full-text verification,not inferred before method/full-text review,metadata-only,https://doi.org/10.1016/j.ijar.2025.109528,"Controlled keyword coding; unknown fields are deliberate, not negative evidence."
P0125,Novel transformation methods from semi-three-way decision spaces to three-way decision spaces and their applications,2024,Information Sciences,decision analysis,points/objects or not reported,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,three-way boundary/defer region,three-way accept/defer/reject,not reported in metadata/abstract,requires full-text verification,not reported in metadata/abstract,requires full-text verification,requires full-text verification,unknown; repository search pending,requires full-text verification,not inferred before method/full-text review,metadata-only,https://doi.org/10.1016/j.ins.2023.119962,"Controlled keyword coding; unknown fields are deliberate, not negative evidence."
P0126,"Three-way Decision, Three-World Conception, and Explainable AI",2022,Lecture Notes in Computer Science,decision analysis,points/objects or not reported,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,three-way boundary/defer region,three-way accept/defer/reject,not reported in metadata/abstract,requires full-text verification,not reported in metadata/abstract,requires full-text verification,requires full-text verification,unknown; repository search pending,requires full-text verification,not inferred before method/full-text review,metadata-only,https://doi.org/10.1007/978-3-031-21244-4_4,"Controlled keyword coding; unknown fields are deliberate, not negative evidence."
P0127,A three-way decision method with changing decision attributes,2025,Intelligent Data Analysis: An International Journal,decision analysis,points/objects or not reported,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,three-way boundary/defer region; probabilistic,three-way accept/defer/reject,not reported in metadata/abstract,requires full-text verification,not reported in metadata/abstract,requires full-text verification,requires full-text verification,unknown; repository search pending,requires full-text verification,not inferred before method/full-text review,abstract-coded,https://doi.org/10.1177/1088467x251330981,"Controlled keyword coding; unknown fields are deliberate, not negative evidence."
P0128,Intuitionistic Fuzzy Three-Way Decision,2023,Studies in Fuzziness and Soft Computing,decision analysis,points/objects or not reported,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,three-way boundary/defer region,three-way accept/defer/reject,not reported in metadata/abstract,requires full-text verification,not reported in metadata/abstract,requires full-text verification,requires full-text verification,unknown; repository search pending,requires full-text verification,not inferred before method/full-text review,metadata-only,https://doi.org/10.1007/978-3-031-45501-8_2,"Controlled keyword coding; unknown fields are deliberate, not negative evidence."
P0129,Hesitant Fuzzy Three-Way Decision,2023,Studies in Fuzziness and Soft Computing,decision analysis,points/objects or not reported,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,three-way boundary/defer region,three-way accept/defer/reject,not reported in metadata/abstract,requires full-text verification,not reported in metadata/abstract,requires full-text verification,requires full-text verification,unknown; repository search pending,requires full-text verification,not inferred before method/full-text review,metadata-only,https://doi.org/10.1007/978-3-031-45501-8_4,"Controlled keyword coding; unknown fields are deliberate, not negative evidence."
P0130,Three-way Learnability: A Learning Theoretic Perspective on Three-way Decision,2022,Annals of Computer Science and Information Systems,decision analysis,points/objects or not reported,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,three-way boundary/defer region,three-way accept/defer/reject,not reported in metadata/abstract,requires full-text verification,not reported in metadata/abstract,requires full-text verification,requires full-text verification,unknown; repository search pending,requires full-text verification,not inferred before method/full-text review,abstract-coded,https://doi.org/10.15439/2022f18,"Controlled keyword coding; unknown fields are deliberate, not negative evidence."
P0131,Cognitive and Social Decision Making: Three-Way Decision Perspectives,2023,Lecture Notes in Computer Science,decision analysis,points/objects or not reported,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,three-way boundary/defer region,three-way accept/defer/reject,not reported in metadata/abstract,requires full-text verification,not reported in metadata/abstract,requires full-text verification,requires full-text verification,unknown; repository search pending,requires full-text verification,not inferred before method/full-text review,metadata-only,https://doi.org/10.1007/978-3-031-50959-9_18,"Controlled keyword coding; unknown fields are deliberate, not negative evidence."
P0132,Item-Based Three-Way Decision Recommendation System,2022,Computer Science and Application,recommendation; decision analysis,points/objects or not reported,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,three-way boundary/defer region,three-way accept/defer/reject,not reported in metadata/abstract,requires full-text verification,not reported in metadata/abstract,requires full-text verification,requires full-text verification,unknown; repository search pending,requires full-text verification,not inferred before method/full-text review,metadata-only,https://doi.org/10.12677/csa.2022.121020,"Controlled keyword coding; unknown fields are deliberate, not negative evidence."
P0133,A novel granular-ball streaming feature selection,2025,International Symposium on Artificial Intelligence Innovations (IS-AII 2025),feature selection; stream/online learning,granular ball,granular-ball generation,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,ranking/selection,rough-set reducer,requires full-text verification,not reported in metadata/abstract,requires full-text verification,requires full-text verification,unknown; repository search pending,requires full-text verification,not inferred before method/full-text review,abstract-coded,https://doi.org/10.1117/12.3074287,"Controlled keyword coding; unknown fields are deliberate, not negative evidence."
P0134,Granular-Ball Subspace-Based Fuzzy Neighborhood Anomaly Detector,2026,IEEE Transactions on Fuzzy Systems,anomaly/outlier detection,granular ball,granular-ball generation,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,requires full-text verification,not reported in metadata/abstract,requires full-text verification,requires full-text verification,unknown; repository search pending,requires full-text verification,not inferred before method/full-text review,abstract-coded,https://doi.org/10.1109/tfuzz.2026.3670429,"Controlled keyword coding; unknown fields are deliberate, not negative evidence."
P0135,A multilevel neighborhood sequential decision approach of three-way granular computing,2020,Information Sciences,decision analysis,points/objects or not reported,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,three-way boundary/defer region,three-way accept/defer/reject,not reported in metadata/abstract,requires full-text verification,not reported in metadata/abstract,requires full-text verification,requires full-text verification,unknown; repository search pending,requires full-text verification,not inferred before method/full-text review,abstract-coded,https://doi.org/10.1016/j.ins.2020.05.060,"Controlled keyword coding; unknown fields are deliberate, not negative evidence."
P0136,Multigranulation rough set model based on granulation of attributes and granulation of attribute values,2019,Information Sciences,not reported in metadata/abstract,rough-set approximation,multi-granulation,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,requires full-text verification,not reported in metadata/abstract,requires full-text verification,requires full-text verification,unknown; repository search pending,requires full-text verification,not inferred before method/full-text review,abstract-coded,https://doi.org/10.1016/j.ins.2019.01.042,"Controlled keyword coding; unknown fields are deliberate, not negative evidence."
P0137,Local Weighted Generalized Multigranulation Neighborhood Rough Set,2021,2021 International Conference on Wavelet Analysis and Pattern Recognition (ICWAPR),not reported in metadata/abstract,rough-set neighborhood; rough-set approximation,multi-granulation; neighborhood,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,requires full-text verification,not reported in metadata/abstract,requires full-text verification,requires full-text verification,unknown; repository search pending,requires full-text verification,not inferred before method/full-text review,abstract-coded,https://doi.org/10.1109/icwapr54887.2021.9736185,"Controlled keyword coding; unknown fields are deliberate, not negative evidence."
P0138,Quick Neighborhood Rough Set for Hierarchical Classification,2025,Lecture Notes in Computer Science,classification,rough-set neighborhood; rough-set approximation,neighborhood,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,classification decision,not reported in metadata/abstract,requires full-text verification,not reported in metadata/abstract,requires full-text verification,requires full-text verification,unknown; repository search pending,requires full-text verification,not inferred before method/full-text review,metadata-only,https://doi.org/10.1007/978-3-031-92744-7_4,"Controlled keyword coding; unknown fields are deliberate, not negative evidence."
P0139,Weighted Multi-granulation Containment Neighborhood Rough Set Model,2022,2022 IEEE/WIC/ACM International Joint Conference on Web Intelligence and Intelligent Agent Technology (WI-IAT),feature selection,rough-set neighborhood; rough-set approximation,multi-granulation; neighborhood,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,ranking/selection,rough-set reducer,requires full-text verification,not reported in metadata/abstract,requires full-text verification,requires full-text verification,unknown; repository search pending,requires full-text verification,not inferred before method/full-text review,abstract-coded,https://doi.org/10.1109/wi-iat55865.2022.00134,"Controlled keyword coding; unknown fields are deliberate, not negative evidence."
P0140,Granular rough sets and granular shadowed sets: Three-way approximations in Pawlak approximation spaces,2022,International Journal of Approximate Reasoning,not reported in metadata/abstract,rough-set approximation; shadowed set,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,three-way boundary/defer region,not reported in metadata/abstract,not reported in metadata/abstract,requires full-text verification,not reported in metadata/abstract,requires full-text verification,requires full-text verification,unknown; repository search pending,requires full-text verification,not inferred before method/full-text review,metadata-only,https://doi.org/10.1016/j.ijar.2021.11.012,"Controlled keyword coding; unknown fields are deliberate, not negative evidence."
P0141,A Sequential Three-Way Decision Model With Intuitionistic Fuzzy Numbers,2021,"IEEE Transactions on Systems, Man, and Cybernetics: Systems",decision analysis,rough-set approximation,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,three-way boundary/defer region,three-way accept/defer/reject,not reported in metadata/abstract,requires full-text verification,not reported in metadata/abstract,requires full-text verification,requires full-text verification,unknown; repository search pending,requires full-text verification,not inferred before method/full-text review,abstract-coded,https://doi.org/10.1109/tsmc.2019.2908518,"Controlled keyword coding; unknown fields are deliberate, not negative evidence."
P0142,Mixed data-driven sequential three-way decision via subjective–objective dynamic fusion,2022,Knowledge-Based Systems,decision analysis,points/objects or not reported,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,three-way boundary/defer region,three-way accept/defer/reject,not reported in metadata/abstract,requires full-text verification,not reported in metadata/abstract,requires full-text verification,requires full-text verification,unknown; repository search pending,requires full-text verification,not inferred before method/full-text review,metadata-only,https://doi.org/10.1016/j.knosys.2021.107728,"Controlled keyword coding; unknown fields are deliberate, not negative evidence."
P0143,Generalized multigranulation sequential three-way decision models for hierarchical classification,2022,Information Sciences,classification; decision analysis,points/objects or not reported,multi-granulation,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,three-way boundary/defer region; probabilistic,three-way accept/defer/reject; classification decision,not reported in metadata/abstract,requires full-text verification,not reported in metadata/abstract,requires full-text verification,requires full-text verification,unknown; repository search pending,requires full-text verification,not inferred before method/full-text review,abstract-coded,https://doi.org/10.1016/j.ins.2022.10.014,"Controlled keyword coding; unknown fields are deliberate, not negative evidence."
P0144,A novel sequential three-way decision model with autonomous error correction,2021,Knowledge-Based Systems,classification; clustering; decision analysis,rough-set approximation,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,three-way boundary/defer region; probabilistic,three-way accept/defer/reject; classification decision; cluster assignment,not reported in metadata/abstract,requires full-text verification,not reported in metadata/abstract,requires full-text verification,requires full-text verification,unknown; repository search pending,requires full-text verification,not inferred before method/full-text review,abstract-coded,https://doi.org/10.1016/j.knosys.2020.106526,"Controlled keyword coding; unknown fields are deliberate, not negative evidence."
P0145,Cost-sensitive sequential three-way decision for information system with fuzzy decision,2022,International Journal of Approximate Reasoning,decision analysis,points/objects or not reported,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,three-way boundary/defer region,three-way accept/defer/reject,not reported in metadata/abstract,requires full-text verification,not reported in metadata/abstract,requires full-text verification,requires full-text verification,unknown; repository search pending,requires full-text verification,not inferred before method/full-text review,metadata-only,https://doi.org/10.1016/j.ijar.2022.07.006,"Controlled keyword coding; unknown fields are deliberate, not negative evidence."
P0146,A TOPSIS method based on sequential three-way decision,2023,Applied Intelligence,decision analysis,points/objects or not reported,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,three-way boundary/defer region,three-way accept/defer/reject,not reported in metadata/abstract,requires full-text verification,not reported in metadata/abstract,requires full-text verification,requires full-text verification,unknown; repository search pending,requires full-text verification,not inferred before method/full-text review,metadata-only,https://doi.org/10.1007/s10489-023-05183-2,"Controlled keyword coding; unknown fields are deliberate, not negative evidence."
P0147,Sequential three-way decision with automatic threshold learning for credit risk prediction,2024,Applied Soft Computing,decision analysis,points/objects or not reported,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,three-way boundary/defer region,three-way accept/defer/reject,not reported in metadata/abstract,requires full-text verification,not reported in metadata/abstract,requires full-text verification,requires full-text verification,unknown; repository search pending,requires full-text verification,not inferred before method/full-text review,metadata-only,https://doi.org/10.1016/j.asoc.2024.112127,"Controlled keyword coding; unknown fields are deliberate, not negative evidence."
P0148,A Novel Sequential Three-Way Decision Model for Medical Diagnosis,2022,Symmetry,classification; decision analysis,points/objects or not reported,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,three-way boundary/defer region; probabilistic,three-way accept/defer/reject; classification decision,not reported in metadata/abstract,requires full-text verification,not reported in metadata/abstract,requires full-text verification,requires full-text verification,unknown; repository search pending,requires full-text verification,not inferred before method/full-text review,abstract-coded,https://doi.org/10.3390/sym14051004,"Controlled keyword coding; unknown fields are deliberate, not negative evidence."
P0149,Incremental sequential three-way decision based on continual learning network,2021,International Journal of Machine Learning and Cybernetics,decision analysis,points/objects or not reported,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,three-way boundary/defer region,three-way accept/defer/reject,not reported in metadata/abstract,requires full-text verification,not reported in metadata/abstract,requires full-text verification,requires full-text verification,unknown; repository search pending,requires full-text verification,not inferred before method/full-text review,metadata-only,https://doi.org/10.1007/s13042-021-01472-9,"Controlled keyword coding; unknown fields are deliberate, not negative evidence."
